baseline,case_id,expected_recommendation,actual_recommendation,expected_approval_blocking,actual_approval_blocking,recommendation_match,approval_blocking_match,exact_match,notes
no_exception_path,baseline_bump_low_to_medium,conditional_go,conditional_go,false,false,true,true,true,Ignores owned exceptions; conditional_go requires documented mitigation only.
offset_credit_gate,baseline_bump_low_to_medium,conditional_go,conditional_go,false,false,true,true,true,No offset credit disclosed; uses FairMind-E output.
fairmind_e,baseline_lower_medium_to_low,go,go,false,false,true,true,true,"Full provenance, confidence, impact, mitigation, exception, and offset-aware gate."
no_environmental_gate,baseline_lower_medium_to_low,go,go,false,false,true,true,true,Always approves; no environmental release gate.
carbon_only_gate,baseline_lower_medium_to_low,go,go,false,false,true,true,true,Low impact passes without evidence-quality checks.
generic_sustainability_score,baseline_lower_medium_to_low,go,go,false,false,true,true,true,Generic sustainability score 0.85 passes.
no_mitigation_review_gate,baseline_lower_medium_to_low,go,go,false,false,true,true,true,Ignores mitigation readiness; conditional_go is never approval-blocking.
no_exception_path,baseline_lower_medium_to_low,go,go,false,false,true,true,true,Ignores owned exceptions; conditional_go requires documented mitigation only.
offset_credit_gate,baseline_lower_medium_to_low,go,go,false,false,true,true,true,No offset credit disclosed; uses FairMind-E output.
fairmind_e,offsets_do_not_rescue_unknown,no_go,no_go,true,true,true,true,true,"Full provenance, confidence, impact, mitigation, exception, and offset-aware gate."
no_environmental_gate,offsets_do_not_rescue_unknown,no_go,go,true,false,false,false,false,Always approves; no environmental release gate.
carbon_only_gate,offsets_do_not_rescue_unknown,no_go,conditional_go,true,true,false,true,false,Medium impact is blocked pending generic mitigation.
generic_sustainability_score,offsets_do_not_rescue_unknown,no_go,conditional_go,true,false,false,false,false,Generic sustainability score 0.55 warns but does not block.
no_mitigation_review_gate,offsets_do_not_rescue_unknown,no_go,no_go,true,true,true,true,true,Ignores mitigation readiness; conditional_go is never approval-blocking.
no_exception_path,offsets_do_not_rescue_unknown,no_go,no_go,true,true,true,true,true,Ignores owned exceptions; conditional_go requires documented mitigation only.
offset_credit_gate,offsets_do_not_rescue_unknown,no_go,go,true,false,false,false,false,Treats disclosed offsets or RECs as enough to clear the gate.
fairmind_e,exception_allows_conditional_review,conditional_go,conditional_go,false,false,true,true,true,"Full provenance, confidence, impact, mitigation, exception, and offset-aware gate."
no_environmental_gate,exception_allows_conditional_review,conditional_go,go,false,false,false,true,false,Always approves; no environmental release gate.
carbon_only_gate,exception_allows_conditional_review,conditional_go,no_go,false,true,false,false,false,High impact is blocked based on carbon tier alone.
generic_sustainability_score,exception_allows_conditional_review,conditional_go,no_go,false,true,false,false,false,Generic sustainability score 0.25 blocks.
no_mitigation_review_gate,exception_allows_conditional_review,conditional_go,conditional_go,false,false,true,true,true,Ignores mitigation readiness; conditional_go is never approval-blocking.
no_exception_path,exception_allows_conditional_review,conditional_go,conditional_go,false,true,true,false,false,Ignores owned exceptions; conditional_go requires documented mitigation only.
offset_credit_gate,exception_allows_conditional_review,conditional_go,conditional_go,false,false,true,true,true,No offset credit disclosed; uses FairMind-E output.
fairmind_e,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,"Full provenance, confidence, impact, mitigation, exception, and offset-aware gate."
no_environmental_gate,vendor_claimed_high_confidence_capped,no_go,go,true,false,false,false,false,Always approves; no environmental release gate.
carbon_only_gate,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,High impact is blocked based on carbon tier alone.
generic_sustainability_score,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,Generic sustainability score 0.25 blocks.
no_mitigation_review_gate,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,Ignores mitigation readiness; conditional_go is never approval-blocking.
no_exception_path,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,Ignores owned exceptions; conditional_go requires documented mitigation only.
offset_credit_gate,vendor_claimed_high_confidence_capped,no_go,no_go,true,true,true,true,true,No offset credit disclosed; uses FairMind-E output.
